#fname,lanme,Position,Number,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,FaceShield,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Jaron,Brown,WR,13,Clemson,1/8/1990,Right,205,6' 2",Normal,Skin 4,Face 3,No,Standard,Type 5,Clear,Yes,No,Team 3,Team 3,Double Team,Double Team,None,None,None,Style 6,Style 6,None,None
Tony,Jefferson,SS,22,Oklahoma,1/27/1992,Right,212,5' 11",Normal,Skin 3,Face 4,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 4,Style 4,None,None
Jonathan,Cooper,G,61,North Carolina,1/19/1990,Right,311,6' 2",Large,Skin 4,Face 10,Yes,Revolution,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Lorenzo,Alexander,ILB,97,California,5/31/1983,Right,244,6' 1",Large,Skin 2,Face 2,No,Standard,Type 10,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,None
Alex,Okafor,OLB,57,Texas,2/8/1991,Right,261,6' 4",Large,Skin 4,Face 3,No,Standard,Type 26,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Tyrann,Mathieu,FS,32,Louisiana State,5/13/1992,Right,186,5' 9",Normal,Skin 2,Face 6,No,Standard,Type 5,None,Yes,Yes,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None
Sam,Acho,OLB,94,Texas,9/6/1988,Right,257,6' 3",Large,Skin 4,Face 4,No,Standard,Type 7,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Ted,Ginn,WR,19,Ohio State,4/12/1985,Right,185,5' 11",Skinny,Skin 3,Face 1,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,High White,High White,None,Style 3,Style 3,None,None
John,Carlson,TE,89,Notre Dame,5/12/1984,Right,248,6' 5",Normal,Skin 1,Face 13,No,Revolution,Type 7,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Ted,Larsen,G,62,North Carolina State,6/13/1987,Right,305,6' 2",Large,Skin 1,Face 3,No,Standard,Type 17,None,No,No,Type 1,Type 1,Taped Small,Taped Small,Black,Black,None,Style 6,Style 6,None,None
Jared,Veldheer,T,68,None,6/14/1987,Right,321,6' 8",Large,Skin 1,Face 12,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Antonio,Cromartie,CB,31,Florida State,4/15/1984,Right,210,6' 2",Normal,Skin 4,Face 4,No,Revolution,Type 5,Clear,No,No,Team 4,Team 4,None,None,High Black,High Black,None,Style 3,Style 3,None,None
Larry,Foote,ILB,50,Michigan,6/12/1980,Right,239,6' 1",Normal,Skin 2,Face 2,No,Standard,Type 7,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Deone,Bucannon,SS,36,Washington State,8/30/1992,Right,216,6' 1",Normal,Skin 3,Face 1,No,Standard,Type 5,None,No,No,Team 4,Team 4,Double Black,Double Black,None,None,None,Style 2,Style 2,None,None
Troy,Niklas,TE,87,Notre Dame,9/18/1992,Left,270,6' 6",Large,Skin 1,Face 2,No,Standard,Type 14,None,Yes,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Kareem,Martin,DE,96,North Carolina,2/19/1992,Right,272,6' 6",Large,Skin 4,Face 2,No,Revolution,Type 7,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
John,Brown,WR,12,Pittsburgh State,4/3/1990,Right,179,5' 10",Skinny,Skin 5,Face 3,No,Revolution,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None
Logan,Thomas,QB,6,Virginia Tech,7/1/1991,Right,250,6' 5",Normal,Skin 2,Face 4,No,Standard,Type 2,Clear,No,No,None,None,Quarterback,Single White,None,None,None,Style 6,Style 6,None,None
Ed,Stinson,DE,72,Alabama,2/15/1990,Right,292,6' 3",Large,Skin 4,Face 3,No,Standard,Type 5,None,No,No,Team 3,Team 3,Taped Large,Taped Large,None,None,None,Style 6,Style 6,None,None
Tommy,Kelly,DE,95,Mississippi State,12/27/1980,Right,310,6' 6",Large,Skin 4,Face 13,No,Standard,Type 10,Clear,No,No,Type 2,Type 2,Taped Small,Taped Small,High Black,High Black,None,Style 6,Style 6,None,None
Kenny,Demens,ILB,54,Michigan,2/4/1990,Right,242,6' 1",Normal,Skin 4,Face 7,No,Standard,Type 7,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,High White,High White,None,Style 3,Style 3,None,None
Robert,Hughes,FB,39,Notre Dame,6/21/1989,Right,235,5' 11",Normal,Skin 4,Face 7,Yes,Standard,Type 5,None,No,Yes,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Darren,Fells,TE,85,None,4/22/1986,Right,281,6' 7",Large,Skin 3,Face 6,No,Standard,Type 3,None,No,No,Type 2,Type 2,None,None,None,None,None,Style 4,Style 4,None,None
Glenn,Carson,ILB,56,Penn State,12/5/1990,Right,236,6' 3",Normal,Skin 1,Face 7,No,Revolution,Type 7,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Thomas,Keiser,OLB,53,Stanford,3/28/1989,Right,260,6' 4",Large,Skin 1,Face 4,No,Standard,Type 7,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Chandler,Catanzaro,K,7,Clemson,2/26/1991,Right,200,6' 3",Skinny,Skin 1,Face 2,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,White,Style 3,Style 3,None,None
Dave,Zastudil,P,9,Ohio,10/26/1978,Left,220,6' 3",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,None
Bruce,Gaston,DT,75,Purdue,11/29/1991,Right,310,6' 2",Large,Skin 3,Face 3,No,Standard,Type 7,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,Bulging,None
Marion,Grice,RB,23,Arizona State,7/19/1992,Right,207,6 '0",Normal,Skin 4,Face 3,No,Standard,Type 3,Clear,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Taped,Taped,None,None
Desmond,Bishop,ILB,52,California,7/24/1984,Right,244,6' 2",Normal,Skin 3,Face 9,No,Revolution,Type 26,None,No,No,Team 1,Team 1,Taped Small,Taped Small,High Team,High Team,None,Style 3,Style 3,None,None
Marcus,Benard,OLB,59,Jackson State,7/26/1985,Right,260,6' 2",Normal,Skin 4,Face 6,No,Standard,Type 7,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Marcus,Gilchrist,SS,38,Clemson,12/8/1988,Right,198,5' 10",Normal,Skin 4,Face 4,No,Standard,Type 5,Clear,Yes,No,Type 1,Type 1,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None
Shareece,Wright,CB,29,USC,4/8/1987,Right,182,5' 11",Normal,Skin 4,Face 7,No,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None
Antonio,Gates,TE,85,Kent State,6/18/1980,Right,255,6' 4",Normal,Skin 5,Face 7,No,Revolution,Type 19,None,Yes,No,Type 1,Type 1,None,None,High White,High White,None,Taped,Taped,None,None
Eric,Weddle,FS,32,Utah,1/4/1985,Right,200,5' 11",Normal,Skin 1,Face 6,No,Standard,Type 5,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,High Black,High Black,None,Taped,Taped,None,None
Donald,Butler,ILB,56,Washington,10/17/1988,Right,242,6' 1",Normal,Skin 4,Face 7,No,Standard,Type 12,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Corey,Liuget,DE,94,Illinois,3/18/1990,Right,300,6' 2",Large,Skin 5,Face 15,No,Standard,Type 6,None,No,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None
Mike,Scifres,P,5,Western Illinois,10/8/1980,Right,215,6' 2",Normal,Skin 1,Face 13,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,White,Style 6,Style 6,None,None
Philip,Rivers,QB,17,North Carolina State,12/8/1981,Right,228,6' 5",Normal,Skin 1,Face 2,No,Standard,Type 3,None,No,No,None,None,None,Single White,None,None,None,Style 3,Style 3,None,None
Eddie,Royal,WR,11,Virginia Tech,5/21/1986,Right,185,5' 10",Skinny,Skin 4,Face 7,No,Standard,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Jarret,Johnson,OLB,96,Alabama,8/14/1981,Right,260,6' 3",Large,Skin 1,Face 11,No,Standard,Type 10,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Ladarius,Green,TE,89,Louisiana-Lafayette,5/29/1990,Right,240,6' 6",Normal,Skin 3,Face 13,No,Standard,Type 7,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Kendall,Reyes,DE,91,Connecticut,9/26/1989,Right,300,6' 4",Large,Skin 4,Face 10,No,Standard,Type 10,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Andrew,Gachkar,ILB,59,Missouri,11/4/1988,Right,240,6' 3",Normal,Skin 1,Face 6,No,Standard,Type 7,None,No,No,Team 3,Team 3,Single White,Single White,None,None,None,Style 6,Style 6,None,None
Nick,Novak,K,9,Maryland,8/21/1981,Right,198,6 '0",Skinny,Skin 1,Face 7,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,White,Style 3,Style 3,None,None
Ryan,Mathews,RB,24,Fresno State,10/10/1987,Right,220,6 '0",Normal,Skin 2,Face 3,No,Revolution,Type 5,Dark,No,No,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Taped,Taped,None,None
Chad,Rinehart,G,78,Northern Iowa,5/4/1985,Right,321,6' 5",Large,Skin 1,Face 15,No,Standard,Type 24,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Johnnie,Troutman,G,63,Penn State,11/11/1987,Right,330,6' 4",Large,Skin 4,Face 7,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Darrell,Stuckey,FS,25,Kansas,6/16/1987,Right,212,5' 11",Normal,Skin 4,Face 4,No,Standard,Type 5,None,No,No,Team 4,Team 4,None,None,None,None,None,Style 3,Style 3,None,None
Mike,Windt,C,47,Cincinnati,5/29/1986,Right,237,6' 1",Large,Skin 1,Face 10,No,Revolution,Type 7,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Keenan,Allen,WR,13,California,4/27/1992,Right,211,6' 2",Normal,Skin 2,Face 6,No,Standard,Type 5,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,White,Style 3,Style 3,None,None
D.J.,Fluker,T,76,Alabama,3/13/1991,Right,339,6' 5",Large,Skin 4,Face 14,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Manti,Te'o,ILB,50,Notre Dame,1/26/1991,Right,241,6' 1",Normal,Skin 2,Face 4,No,Standard,Type 12,Clear,Yes,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
King,Dunlap,T,77,Auburn,9/14/1985,Right,330,6' 9",Large,Skin 4,Face 5,No,Standard,Type 6,None,Yes,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Richard,Marshall,CB,31,Fresno State,12/12/1984,Right,198,5' 11",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Sean,Lissemore,DT,98,William & Mary,9/11/1987,Right,303,6' 3",Large,Skin 1,Face 10,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Rich,Ohrnberger,C,74,Penn State,2/14/1986,Right,300,6' 2",Large,Skin 1,Face 5,No,Standard,Type 6,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Jahleel,Addae,SS,37,Central Michigan,1/24/1990,Right,195,5' 10",Normal,Skin 4,Face 3,Yes,Revolution,Type 5,Clear,No,Yes,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Malcom,Floyd,WR,80,Wyoming,9/8/1981,Right,225,6' 5",Normal,Skin 3,Face 6,No,Standard,Type 2,None,Yes,No,Team 1,Team 1,None,None,High White,High White,None,Style 3,Style 3,None,None
John,Phillips,TE,83,Virginia,6/11/1987,Right,251,6' 5",Large,Skin 1,Face 6,No,Standard,Type 7,None,Yes,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dwight,Freeney,OLB,93,Syracuse,2/19/1980,Right,268,6' 1",Normal,Skin 12,Face 14,No,Revolution,Type 6,None,No,No,Team 3,Team 3,Elastic Large,Elastic Large,None,None,None,Style 6,Style 6,None,None
Kellen,Clemens,QB,10,Oregon,6/7/1983,Right,221,6' 2",Normal,Skin 1,Face 7,No,Standard,Type 2,None,No,No,None,None,Single Black,Single Black,None,None,None,Style 3,Style 3,None,None
Donald,Brown,RB,34,Connecticut,4/11/1987,Right,207,5' 10",Normal,Skin 2,Face 3,No,Revolution,Type 5,None,Yes,No,Team 3,Team 3,Single White,Single White,High White,High White,None,Style 6,Style 6,None,None
Seyi,Ajirotutu,WR,16,Fresno State,6/12/1987,Right,215,6' 3",Normal,Skin 3,Face 6,No,Standard,Type 3,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
David,Johnson,FB,88,Arkansas State,8/26/1987,Right,260,6' 2",Normal,Skin 5,Face 5,Yes,Standard,Type 7,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Whit
Steve,Williams,CB,23,California,3/7/1991,Right,185,5' 10",Normal,Skin 4,Face 3,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,None,None,None,None,None,Style 6,Style 6,None,None
Jason,Verrett,CB,22,TCU,5/13/1991,Right,176,5' 10",Normal,Skin 2,Face 3,Yes,Revolution,Type 5,Clear,No,Yes,Type 3,Type 3,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 3,Style 3,None,None
Jeremiah,Attaochu,OLB,97,Georgia Tech,1/17/1993,Right,252,6' 3",Normal,Skin 6,Face 7,No,Revolution,Type 5,Clear,Yes,Yes,Type 3,Type 3,Single Team,Taped Small,None,None,None,Style 1,Style 1,None,None
Chris,Watt,G,65,Notre Dame,8/17/1990,Right,321,6' 3",Large,Skin 1,Face 6,No,Standard,Type 7,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Ryan,Carrethers,DT,92,Arkansas State,2/26/1991,Right,330,6' 1",Extra Large,Skin 3,Face 3,No,Standard,Type 6,None,No,Yes,None,None,None,None,High Team,High Team,None,Style 4,Style 4,None,None
Brandon,Flowers,CB,26,Virginia Tech,2/18/1986,Right,187,5' 9",Normal,Skin 4,Face 1,No,Standard,Type 5,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Willie,Smith,T,69,East Carolina,11/13/1986,Right,310,6' 5",Large,Skin 4,Face 5,No,Standard,Type 10,None,No,No,Type 2,Type 2,Single Black,Single Black,None,None,None,Style 6,Style 6,None,None
Kavell,Conner,ILB,53,Clemson,2/23/1987,Right,245,6 '0",Normal,Skin 4,Face 5,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Reggie,Walker,ILB,52,Kansas State,12/15/1986,Right,244,6 '0",Normal,Skin 3,Face 5,Yes,Revolution,Type 20,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Tourek,Williams,OLB,58,None,5/9/1991,Right,262,6' 4",Large,Skin 2,Face 14,Yes,Revolution,Type 10,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Ricardo,Mathews,DE,90,Cincinnati,7/30/1987,Right,300,6' 3",Large,Skin 4,Face 9,Yes,Standard,Type 6,None,No,No,Team 3,Team 3,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,None
Branden,Oliver,RB,43,Buffalo,5/7/1991,Right,203,5' 8",Normal,Skin 4,Face 4,No,Standard,Type 3,Clear,No,Yes,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dontrelle,Inman,WR,15,Virginia,1/31/1989,Left,205,6' 3",Normal,Skin 4,Face 5,No,Standard,Type 3,None,No,No,Team 2,Team 2,None,None,High White,High White,None,Style 1,Style 1,None,None
Tenny,Palepoi,DE,72,Utah,12/19/1990,Right,298,6' 1",Large,Skin 2,Face 5,No,Revolution,Type 23,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Whit
Chris,Davis,CB,20,Auburn,11/4/1990,Right,201,5' 10",Normal,Skin 4,Face 3,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Double Team,Double Team,None,None,None,Style 3,Style 3,None,None
Shaun,Draughn,RB,28,North Carolina,12/7/1987,Right,205,6 '0",Normal,Skin 4,Face 4,No,Standard,Type 5,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Cordarro,Law,OLB,99,Southern Mississippi,10/15/1988,Right,254,6' 1",Large,Skin 6,Face 6,No,Revolution,Type 7,None,No,No,Type 4,Type 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Ronnie,Brown,RB,30,Auburn,12/12/1981,Right,223,6 '0",Normal,Skin 5,Face 7,No,Standard,Type 5,Dark,No,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Trevor,Robinson,C,60,Notre Dame,5/16/1990,Right,300,6' 5",Large,Skin 1,Face 2,No,Revolution,Type 26,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Dustin,Colquitt,P,2,Tennessee,5/6/1982,Left,210,6' 3",Normal,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Justin,Houston,OLB,50,Georgia,1/12/1989,Right,258,6' 3",Large,Skin 5,Face 5,No,Revolution,Type 10,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 1,Style 1,None,None
Thomas,Gafford,C,43,Houston,1/29/1983,Right,250,6' 2",Normal,Skin 1,Face 3,No,Revolution,Type 7,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Jamaal,Charles,RB,25,Texas,12/27/1986,Right,199,5' 11",Normal,Skin 5,Face 3,Yes,Revolution,Type 19,Clear,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Eric,Berry,SS,29,Tennessee,12/29/1988,Right,211,6 '0",Normal,Skin 3,Face 3,No,Standard,Type 5,None,Yes,No,Taped,Taped,Neoprene Small,Neoprene Small,None,None,None,Taped,Taped,None,None
Dontari,Poe,DT,92,Memphis,8/18/1990,Right,346,6' 3",Extra Large,Skin 3,Face 13,No,Revolution,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,Collar,None
Tamba,Hali,OLB,91,Penn State,11/3/1983,Right,275,6' 3",Large,Skin 6,Face 15,No,Standard,Type 24,Dark,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,White,Taped,Taped,None,None
Chase,Daniel,QB,10,Missouri,10/7/1986,Right,225,6 '0",Normal,Skin 1,Face 2,No,Standard,Type 3,None,No,No,None,None,Single Black,None,None,None,None,Style 6,Style 6,None,None
Alex,Smith,QB,11,Utah,5/7/1984,Right,217,6' 4",Normal,Skin 1,Face 6,No,Standard,Type 7,None,No,No,None,None,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Donnie,Avery,WR,17,Houston,6/12/1984,Right,200,5' 11",Skinny,Skin 4,Face 5,No,Revolution,Type 3,None,No,No,Team 3,Team 3,None,None,High White,High White,None,Style 1,Style 1,None,None
Anthony,Fasano,TE,80,Notre Dame,4/20/1984,Right,255,6' 4",Normal,Skin 1,Face 12,No,Standard,Type 7,None,No,No,Type 2,Type 2,Single Black,Single Black,None,None,None,Style 1,Style 1,None,None
Rodney,Hudson,C,61,Florida State,7/12/1989,Right,299,6' 2",Large,Skin 5,Face 13,No,Standard,Type 27,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Allen,Bailey,DE,97,Miami (Fla.),3/25/1989,Right,288,6' 3",Large,Skin 5,Face 3,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Frank,Zombo,OLB,51,Central Michigan,3/5/1987,Right,254,6' 3",Normal,Skin 1,Face 4,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 4,Style 4,None,None
Sean,Smith,CB,21,Utah,7/14/1987,Right,218,6' 3",Normal,Skin 3,Face 3,No,Revolution,Type 5,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Anthony,Sherman,FB,42,Connecticut,12/11/1988,Right,242,5' 10",Normal,Skin 1,Face 5,No,Standard,Type 7,None,Yes,Yes,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Knile,Davis,RB,34,Arkansas,10/5/1991,Right,227,5' 10",Normal,Skin 3,Face 10,No,Revolution,Type 5,None,No,Yes,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Eric,Kush,C,64,None,9/9/1989,Right,313,6' 4",Large,Skin 1,Face 7,No,Revolution,Type 10,None,No,No,Type 4,None,None,None,None,None,None,Taped,Taped,Bulging,None
Eric,Fisher,T,72,Central Michigan,1/5/1991,Right,306,6' 8",Large,Skin 1,Face 13,No,Revolution,Type 26,None,No,Yes,Type 2,Type 2,Neoprene Small,Neoprene Small,None,Black,None,Style 6,Style 6,None,None
A.J.,Jenkins,WR,15,Illinois,9/30/1989,Right,200,6 '0",Normal,Skin 4,Face 6,No,Revolution,Type 5,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Cyrus,Gray,RB,32,Texas A&M,11/18/1989,Right,206,5' 10",Normal,Skin 5,Face 7,No,Standard,Type 2,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Junior,Hemingway,WR,88,Michigan,12/27/1988,Right,225,6' 1",Normal,Skin 4,Face 9,Yes,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,High White,High White,None,Style 6,Style 6,None,None
Jaye,Howard,DE,96,Florida,12/20/1988,Right,301,6' 3",Large,Skin 4,Face 9,No,Revolution,Type 20,None,No,No,Type 4,Type 4,Taped Large,Taped Large,None,None,None,Style 6,Style 6,None,None
Marcus,Cooper,CB,31,Rutgers,2/1/1990,Right,192,6' 1",Normal,Skin 3,Face 2,No,Standard,Type 5,Clear,No,No,Type 3,Type 3,None,None,None,None,None,Style 3,Style 3,None,None
Ron,Parker,CB,38,None,8/17/1987,Right,206,6 '0",Normal,Skin 3,Face 4,Yes,Standard,Type 5,None,Yes,No,Team 4,Team 4,Elastic Large,Elastic Large,None,None,None,Style 3,Style 3,None,None
Husain,Abdullah,FS,39,Washington State,7/27/1985,Right,204,6 '0",Normal,Skin 4,Face 2,No,Revolution,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,High White,High White,None,Style 4,Style 4,None,None
James-Michael,Johnson,ILB,52,Nevada,8/20/1989,Right,240,6' 1",Normal,Skin 3,Face 7,No,Standard,Type 5,Clear,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Travis,Kelce,TE,87,Cincinnati,10/5/1989,Right,260,6' 5",Normal,Skin 1,Face 4,No,Revolution,Type 5,None,Yes,No,Team 2,Team 2,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 1,Style 1,None,None
Jeff,Linkenbach,G,74,Cincinnati,6/9/1987,Right,325,6' 6",Large,Skin 1,Face 12,No,Revolution,Type 23,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Vance,Walker,DE,99,Georgia Tech,4/26/1987,Right,305,6' 2",Extra Large,Skin 12,Face 2,No,Revolution,Type 23,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Chris,Owens,CB,20,San Jose State,12/21/1986,Right,180,5' 9",Skinny,Skin 3,Face 6,No,Revolution,Type 5,None,No,No,Team 4,Team 4,Single Black,Single Black,None,None,None,Style 3,Style 3,None,Whit
Dee,Ford,OLB,55,Auburn,3/19/1991,Right,243,6' 2",Normal,Skin 3,Face 1,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Phillip,Gaines,CB,23,Rice,4/4/1991,Right,193,6 '0",Skinny,Skin 2,Face 3,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,None
De'Anthony,Thomas,WR,13,Oregon,1/5/1993,Right,174,5' 9",Normal,Skin 5,Face 6,Yes,Standard,Type 5,Clear,No,Yes,Team 2,Team 2,None,None,High White,High White,None,Style 6,Style 6,None,None
Aaron,Murray,QB,7,Georgia,11/10/1990,Right,210,6' 1",Normal,Skin 1,Face 2,No,Standard,Type 2,None,No,No,None,None,Quarterback,Single White,None,None,None,Style 6,Style 6,None,None
Laurent,Duvernay-Tardif,G,76,McGill,2/11/1991,Right,315,6' 5",Large,Skin 1,Face 2,No,Standard,Type 7,Clear,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Ryan,Harris,T,68,Notre Dame,3/11/1985,Right,302,6' 5",Large,Skin 2,Face 12,No,Revolution,Type 26,None,No,No,Type 1,Type 1,None,None,Neoprene,Neoprene,None,Style 3,Style 3,None,Whit
Josh,Mauga,ILB,90,Nevada,6/20/1987,Right,245,6' 1",Normal,Skin 1,Face 1,No,Revolution,Type 7,None,Yes,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Josh,Martin,OLB,95,Columbia,11/7/1991,Right,245,6' 3",Normal,Skin 4,Face 14,No,Standard,Type 19,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 4,Style 4,None,None
Kelcie,McCray,FS,24,Arkansas State,9/21/1988,Right,205,6' 1",Normal,Skin 4,Face 7,No,Revolution,Type 3,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
